[05:42:41] SERVER_METRIC - CPU: Normal | RAM: 10%
[05:42:42] SERVER_METRIC - CPU: Normal | RAM: 9%
[05:42:43] SERVER_METRIC - CPU: Normal | RAM: 73%
[05:42:44] SERVER_METRIC - CPU: Normal | RAM: 88%
[05:42:45] SERVER_METRIC - CPU: Normal | RAM: 40%
[05:42:46] SERVER_METRIC - CPU: Normal | RAM: 59%
[05:42:47] SERVER_METRIC - CPU: Normal | RAM: 6%
[05:42:48] SERVER_METRIC - CPU: Normal | RAM: 32%
[05:42:49] SERVER_METRIC - CPU: Normal | RAM: 39%
[05:42:50] SERVER_METRIC - CPU: Normal | RAM: 76%
[05:42:51] SERVER_METRIC - CPU: Normal | RAM: 42%
[05:42:52] SERVER_METRIC - CPU: Normal | RAM: 69%
[05:42:53] SERVER_METRIC - CPU: Normal | RAM: 4%
[05:42:54] SERVER_METRIC - CPU: Normal | RAM: 82%
[05:42:55] SERVER_METRIC - CPU: Normal | RAM: 47%
[05:42:56] SERVER_METRIC - CPU: Normal | RAM: 22%
[05:42:57] SERVER_METRIC - CPU: Normal | RAM: 1%
[05:42:58] SERVER_METRIC - CPU: Normal | RAM: 59%
[05:42:59] SERVER_METRIC - CPU: Normal | RAM: 61%
[05:43:00] SERVER_METRIC - CPU: Normal | RAM: 6%
[05:43:01] SERVER_METRIC - CPU: Normal | RAM: 35%
[05:43:02] SERVER_METRIC - CPU: Normal | RAM: 85%
[05:43:03] SERVER_METRIC - CPU: Normal | RAM: 91%
[05:43:04] SERVER_METRIC - CPU: Normal | RAM: 71%
[05:43:05] SERVER_METRIC - CPU: Normal | RAM: 8%
[05:43:06] SERVER_METRIC - CPU: Normal | RAM: 0%
[05:43:07] SERVER_METRIC - CPU: Normal | RAM: 10%
[05:43:09] SERVER_METRIC - CPU: Normal | RAM: 85%
[05:43:10] SERVER_METRIC - CPU: Normal | RAM: 12%
[05:43:11] SERVER_METRIC - CPU: Normal | RAM: 45%
[05:43:12] SERVER_METRIC - CPU: Normal | RAM: 23%
[05:43:13] SERVER_METRIC - CPU: Normal | RAM: 31%
[05:43:14] SERVER_METRIC - CPU: Normal | RAM: 70%
[05:43:15] SERVER_METRIC - CPU: Normal | RAM: 48%
[05:43:16] SERVER_METRIC - CPU: Normal | RAM: 25%
[05:43:17] SERVER_METRIC - CPU: Normal | RAM: 89%
[05:43:18] SERVER_METRIC - CPU: Normal | RAM: 11%
[05:43:19] SERVER_METRIC - CPU: Normal | RAM: 57%
[05:43:20] SERVER_METRIC - CPU: Normal | RAM: 99%
[05:43:21] SERVER_METRIC - CPU: Normal | RAM: 1%
[05:43:22] SERVER_METRIC - CPU: Normal | RAM: 45%
[05:43:23] SERVER_METRIC - CPU: Normal | RAM: 9%
[05:43:24] SERVER_METRIC - CPU: Normal | RAM: 57%
[05:43:25] SERVER_METRIC - CPU: Normal | RAM: 68%
[05:43:26] SERVER_METRIC - CPU: Normal | RAM: 18%
[05:43:27] SERVER_METRIC - CPU: Normal | RAM: 6%
[05:43:28] SERVER_METRIC - CPU: Normal | RAM: 46%
[05:43:29] SERVER_METRIC - CPU: Normal | RAM: 92%
[05:43:30] SERVER_METRIC - CPU: Normal | RAM: 96%
[05:43:31] SERVER_METRIC - CPU: Normal | RAM: 85%
[05:43:32] SERVER_METRIC - CPU: Normal | RAM: 63%
[05:43:33] SERVER_METRIC - CPU: Normal | RAM: 54%
[05:43:34] SERVER_METRIC - CPU: Normal | RAM: 93%
